Order,Family,Genus,Species,Authority,CommonName,AdultBodyMass,CranialCapacity,DietBreadth,Diet: invertebrates,Diet: vertebrates,Diet: fruits,Diet: flower/nectar/pollen/gums,Diet: seeds,Diet: other plant materials,Diet: scavenge; garbage; carrion; carcasses,TrophicLevel,HabitatBreadth,ActivityCycle,ForagingStratum,GestationLength,LitterSize,InterbirthInterval,HomeRange,PopulationDensity,SocialGrpSize,Longevity,Dry,Humid,Montane,Subarid,Subhumid,Alaotra.Mangoro,Amoron.i.Mania,Analamanga,Analanjirofo,Androy,Anosy,Atsimo.Andrefana,Atsimo.Atsinanana,Atsinanana,Betsiboka,Boeny,Bongolava,DIANA,Haute.Matsiatra,Ihorombe,Itasy,Melaky,Menabe,SAVA,Sofia,Vakinankaratra,Vatovavy.Fitovinany,Antananarivo,Antsiranana,Fianarantsoa,Mahajanga,Toamasina,Toliara,References
Primates,Cheirogaleidae,Microcebus,Microcebus myoxinus,Peters; 1852,Peters' Mouse Lemur; Pygmy Mouse Lemur; Western Rufous Mouse Lemur,47.12,-999,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,58,2,218.85,-999,-999,1,218.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,309; 262; 376; 146; 207; 191; 84; 255
Primates,Cheirogaleidae,Microcebus,Microcebus ravelobensis,Zimmermann; Cepok; Rakotoarison; Zietemann & Radespiel; 1998,Golden-brown Mouse Lemur,63.14,-999,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,60,2,-999,-999,-999,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,309; 223; 262; 376; 146; 252; 116; 207; 133; 149
Primates,Cheirogaleidae,Microcebus,Microcebus rufus,(É. Geoffroy; 1834),Rufous Mouse Lemur; Brown Mouse-lemur; Rufous Mouse-lemur; Russet Mouse-lemur,43.7,1.78,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,60,2.51,219,0.01,167.8,1,144,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,223; 226; 376; 146; 207; 191; 119; 4; 191
Primates,Cheirogaleidae,Microcebus,Microcebus sambiranensis,Rasoloarison; Goodman & Ganzhorn; 2000,Sambirano Mouse Lemur,44.18,-999,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,60,2,-999,-999,-999,-999,-999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,309; 223; 262; 146; 207; 116; 376; 133; 149
Primates,Cheirogaleidae,Microcebus,Microcebus simmonsi,Louis Jr.; Coles; Andriantompohavana; Sommer; Engberg; Zaonarivelo; Mayor & Brenneman; 2006,Simmons' Mouse Lemur,64.8,-999,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,223; 207; 116; 106; 252
Primates,Cheirogaleidae,Microcebus,Microcebus tavaratra,Rasoloarison; Goodman & Ganzhorn; 2000,Tavaratra Mouse Lemur; Northern Rufous Mouse Lemur,55.04,-999,5,yes,yes,yes,yes,no,yes,no,2,1,1,3,-999,2,-999,-999,-999,-999,-999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,309; 223; 262; 376; 146; 207; 252; 149
Afrosoricida,Tenrecidae,Microgale,Microgale brevicaudata,G. Grandidier; 1899,Short-tailed shrew tenrec,8.9,-999,1,yes,no,no,no,no,no,no,3,2,2,1,-999,4.5,-999,-999,-999,-999,-999,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,163; 376; 207; 191
Afrosoricida,Tenrecidae,Microgale,Microgale cowani,Thomas; 1882,Cowan's Shrew Tenrec,13.8,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,5,-999,-999,-999,-999,13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,163; 376; 207; 191; 149; 255
Afrosoricida,Tenrecidae,Microgale,Nesogale dobsoni,Thomas; 1884,Dobson's Shrew Tenrec,36,-999,1,yes,no,no,no,no,no,no,3,1,1,1,61.32,2.67,-999,-999,-999,1,67.2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,332; 376; 207; 191; 149; 188; 4; 133
Afrosoricida,Tenrecidae,Microgale,Microgale drouhardi,G. Grandidier; 1934,Drouhard's Shrew Tenrec; Striped Shrew Tenrec,10.5,-999,1,yes,no,no,no,no,no,no,3,2,1,1,-999,6,-999,-999,-999,-999,13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,332; 376; 207; 116; 149; 255
